Unnamed: 0,id,text,user_name,user_description,user_location,user_following,user_followers,tweets_by_user,user_created_at,tweet_created,retweets,likes,hashtags,media,search_term,emojis,sentiments_list,revised_sentiment,distillbert_valence
253291,1359216214875262980,"three palm oil firms were responsible for a quarter of deforestation in indonesia malaysia and papua new guinea in 2020 the felling of climate-critical forests to make way for palm oil plantations in https://tco/n5zgfenggk
#animal_rehabilitation #animal_sanctuary # https://tco/8jwts60fuo",hoteldealphuket,"Phuket Hotel Deals offers Phuket property for sale and resale, Hotels, domestic and International flights, local Phuket guides, breaking Asia news and more.",Phuket,53,288,63131,2013-10-23 01:50:59,2021-02-09 19:02:53,0,0,"[{'text': 'animal_rehabilitation', 'indices': [230, 252]}, {'text': 'animal_sanctuary', 'indices': [253, 270]}]",http://pbs.twimg.com/media/Etzn8WuXIAAZ2ju.jpg,deforestation -filter:retweets,,,negative,-0.9920384883880616
253283,1359691122985947137,despicable #brazil govt using #pandemic as cover to dilute environmental legislation &amp; loosen enforcement anti-#deforestation regs enforcement via @sciencedirect  https://tco/xpj6mjhdtd a direct govt attack on amazon ecosphere survival warns @standmighty https://tco/scvrktzovg https://tco/tdmdmfnh8r,PhelimKine,"Senior Director Asia @StandMighty @TeamWaxman; Former
 @P4HR @hrw Asia hand. Re-tweets not endorsement.",Asia Pacific,1326,19024,53843,2011-09-16 07:06:02,2021-02-11 02:30:00,0,2,"[{'text': 'Brazil', 'indices': [12, 19]}, {'text': 'pandemic', 'indices': [31, 40]}, {'text': 'deforestation', 'indices': [116, 130]}]",http://pbs.twimg.com/media/Et4nD6zXMAMTg2V.jpg,deforestation -filter:retweets,,,negative,-0.9977225661277772
253280,1359697180987183105,"🌳🍂🌳impacto humano no #desmatamento / 
human impact on ❌#deforestation https://tco/tyb6qg5ddk",isis_0726,☮⏳🌍🌎🌏O erro da ética tem sido a crença de que só se deva aplicá-la em relação aos homens - A. Schweitzer.   #cancelanimalag #biocentrism #antiespecism #earth,,115,31,3724,2019-10-27 21:15:12,2021-02-11 02:54:04,0,0,"[{'text': 'desmatamento', 'indices': [21, 34]}, {'text': 'deforestation', 'indices': [55, 69]}]",http://pbs.twimg.com/media/Et6dYS4WQAAoNul.jpg,deforestation -filter:retweets,"{'🌳', '❌', '🍂'}",{'neutral'},negative,-0.9735751748085022
253268,1359718063994667009,"deforestation will be the end of the human race unless we put an end to deforestation
before it’s too late - stop deforestation
please plant trees plant hope 
help us to plant trees https://tco/g5q7ovwhkm",AmanzWillieONE,"Sincerity, Awards winner, Crusading Climate and Environmental Rights Activist.",Africa.,889,627,3357,2018-11-11 03:14:22,2021-02-11 04:17:03,1,2,[],http://pbs.twimg.com/media/Et6wX0HUYAUrGlg.jpg,deforestation -filter:retweets,,,negative,-0.9636733531951904
253260,1359734007731269632,"@_wrong_guy_ @zerohedge no other codes nowdays 😉
seriously you cant build (1) windmill without:

200 tons of concrete
200 tons of steele
roads cables deforestation shipping assembly

just for an expected lifetime of 20 years https://tco/olonyszkzy",GordonGecko3,"Gold/Silver/Oil/Uranium-Bug
https://t.co/AZNzvG6Z0F",Worldwide,896,242,9518,2011-08-13 20:41:04,2021-02-11 05:20:24,0,1,[],http://pbs.twimg.com/tweet_video_thumb/Et6-3nxXMAI4ND0.jpg,deforestation -filter:retweets,{'😉'},{'positive'},negative,-0.995930016040802
253255,1359736972676222977,#uttrakhanddisaster  #deforestation  #sdg  to become vishva guru we just have to spent more on green gdp which bring equality among indian's https://tco/cohpmd9zvw,shiv1993_25,,"New Delhi, India",35,11,22,2011-12-10 17:14:31,2021-02-11 05:32:11,0,0,"[{'text': 'UttrakhandDisaster', 'indices': [0, 19]}, {'text': 'deforestation', 'indices': [21, 35]}, {'text': 'SDG', 'indices': [37, 41]}]",http://pbs.twimg.com/media/Et7BkbMVoAIl-35.jpg,deforestation -filter:retweets,,,negative,-0.9923715591430664
253253,1359739445424115712,@bill_gross #facts: pollution &amp; deforestation are bad but #climatechange is a conclusive repeating 100000 yr #cycle of earth's orbit/tilt (~10k yrs #warming then ~90k yrs #iceage) long before people/pollution we cant stop earths orbit nor warming (the main cause not pollution) #science https://tco/vvfjm4te6b,ToddJobson,"Tech-MBA @DellTech| Co-founder & CTO @ https://t.co/HWn19NlRKJ 
Life's simple pleasures & treasures are all around us.. embrace the moments.
Thoughts/Comments my own.",NJ,873,1837,28725,2014-11-05 05:52:11,2021-02-11 05:42:01,0,1,"[{'text': 'FACTS', 'indices': [12, 18]}, {'text': 'ClimateChange', 'indices': [63, 77]}, {'text': 'cycle', 'indices': [115, 121]}, {'text': 'Warming', 'indices': [154, 162]}, {'text': 'IceAge', 'indices': [178, 185]}, {'text': 'Science', 'indices': [288, 296]}]",http://pbs.twimg.com/media/Et7Dz4WXYAEbDTr.jpg,deforestation -filter:retweets,,,negative,-0.9915555119514464
253250,1359748507096158208,"you are never too small to make a difference
planting a sapling that will stand tall in futurewe encourage you to plant a tree of your ownevery tree counts in the ongoing battle against deforestation &amp; manmade climate changehave you planted a treetell us about your experience https://tco/uf1ll24x96",saytrees_ind,Fighting climate change by massive tree plantations. SayTrees is the fastest growing NGO of nature lovers in India. #SDG13 #SDG15,Bangalore,410,3758,2421,2011-08-30 03:25:15,2021-02-11 06:18:01,1,10,[],http://pbs.twimg.com/media/Et7MD3_UUAE-z7k.jpg,deforestation -filter:retweets,,,negative,0.9980588555336
253248,1359751022734807043,"looking at arunachal 

with such deforestation rates + @pemakhandubjp's statements about 50000-70000 mw hydro potential + zone v (max risk) in seismic maps https://tco/sjmvmyluyo",rishpardikar,"Reporter | Wildlife & Climate Change | @TheWireScience, @third_pole, @AGU_Eos, @Article14live, @IndiaSpend, @Sojourners, @ozy",India,125,940,6107,2015-08-08 07:19:17,2021-02-11 06:28:01,4,7,[],http://pbs.twimg.com/media/Et7NJExVkAEkpmq.jpg,deforestation -filter:retweets,,,negative,-0.9772840738296508
253246,1359752555765637125,i am providing you with a picture of deforestation https://tco/hy8k5mzxzs,nicepicturebot,"despite the warm demeanor, it’s all artificial intelligence here!",,0,14,6157,2018-12-24 23:10:53,2021-02-11 06:34:06,0,0,[],http://pbs.twimg.com/media/Et7Pvm_XEAA0LPs.jpg,deforestation -filter:retweets,,,negative,0.977134644985199
